Name,Age,Email,Phone,Address,Purchase_Date,Product_ID,Quantity,Price,Review_Score
Tom,N/A,john@mail.com,+1-123-456-7890,253 Elm St,01/02/2024,P0034,1,ten,five
Alice,nan,jane@test.or,123.456.7890,519 Elm St,"March 4, 2024",P0015,three,9.99,1
Jerry,N/A,smith@mail.com,1234567890,653 High St,2024-01-01,P0024,3,ten,2
Bob,41,alice@mail.co,123 456 7890,393 High St,2024-06-06,P0017,1,5.49,3
Tom,nan,bob@mail.co,+1-123-456-7890,795 High St,"March 4, 2024",P0010,0,5.49,nan
Chris,N/A,eve@example.com,(123) 456-7890,194 Second St,2024/05/05,P0037,three,ten,5
Smith,unknown,tom@mail.co,123 456 7890,29 Second St,2024-06-06,P006,1,N/A,2
Tom,unknown,jerry@mail.co,(123) 456-7890,422 Broadway,2024-06-06,P0040,1,N/A,3
Jerry,unknown,anna@example.co,123-456-7890,648 Second St,2024.03.03,P0038,3,nan,2
Bob,unknown,chris@example.co,123 456 7890,833 Elm St,2024-01-01,P0033,0,5.49,five
Alice,18,john@mail.co,+1-123-456-7890,500 Main St,2024-01-01,P0011,NaN,19.99,5
Jerry,unknown,jane@test.or,123 456 7890,511 Main St,nan,P0037,NaN,nan,nan
Jerry,unknown,smith@example.co,123 456 7890,301 First Ave,nan,P0031,1,N/A,1
Smith,44,alice@test.or,123 456 7890,804 Elm St,nan,P008 ,2,ten,1
Eve,unknown,bob@test.or,1234567890,252 Broadway,nan,P0045 ,0,N/A,3
Bob,N/A,eve@mail.co,123 456 7890,445 First Ave,2024/05/05,P0015 ,three,ten,nan
Jane,unknown,tom@example.com,(123) 456-7890,182 Broadway,2024/05/05,P0040,2,nan,4
Jerry,unknown,jerry@test.or,123-456-7890,714 High St,2024-06-06,P0030,2,5.49,five
Eve,nan,anna@example.co,123.456.7890,531 Elm St,01/02/2024,P0022,0,N/A,3
Jane,nan,chris@test.or,123 456 7890,451 Second St,2024.03.03,P0015,1,ten,4
Bob,47,john@example.co,+1-123-456-7890,653 High St,2024.03.03,P0011,1,5.49,2
John,unknown,jane@test.or,123 456 7890,220 Elm St,nan,P0013,1,19.99,five
Chris,unknown,smith@example.co,+1-123-456-7890,58 First Ave,2024-06-06,P0042,1,ten,2
Eve,60,alice@mail.co,(123) 456-7890,476 Second St,"March 4, 2024",P0046,NaN,nan,nan
Anna,53,bob@example.com,+1-123-456-7890,895 Main St,01/02/2024,P009,1,19.99,5
John,unknown,eve@example.com,123.456.7890,935 Main St,2024-06-06,P0026,NaN,19.99,five
Chris,N/A,tom@example.com,123-456-7890,387 Second St,01/02/2024,P006,NaN,9.99,4
Smith,N/A,jerry@example.co,+1-123-456-7890,348 Elm St,01/02/2024,P0041,1,N/A,5
Tom,59,anna@example.co,+1-123-456-7890,505 First Ave,01/02/2024,P0019,3,ten,1
Alice,nan,chris@example.co,123-456-7890,369 Main St,2024-06-06,P0014,three,19.99,4
Anna,nan,john@test.or,123.456.7890,824 Main St,nan,P001,2,9.99,3
